ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Wine,Chile Wine,Chile Red Wine,CHILE,322586,CABERNET SAUVIGNON - MONTES ALPHA COLCHAGUA VALLEY,715126000116,0.75,1,14,27.99,0
Wine,France Wine,France Red Wine,FRANCE,364271,ST JULIEN - CHATEAU SAINT PIERRE 2022,3700415104375,0.75,1,13,155,NA
Wine,Canada - BC,Canada - BC Red Wine,CANADA,395752,RAINMAKER WINES - MALBEC 2020,628504216521,0.75,1,14.5,33.99,0
Wine,France Wine,France Red Wine,FRANCE,421418,HAUTES COTES DE BEAUNE - MAISON A GOICHOT,3443350081072,0.75,1,13,38.99,0
Wine,France Wine,France Red Wine,FRANCE,423076,ALOXE CORTON 1ER LES VALOZIERES - GERARD JULIEN,696852093101,0.75,1,13,105.99,0
Wine,France Wine,France Red Wine,FRANCE,465771,ST JULIEN - CHATEAU GRUAUD LAROSE 2020,3609051150824,0.75,1,13,180,NA
Spirits,Whisky,Blended Malt Scotch Whisky,UNITED KINGDOM,604470,COMPASS BOX - PEAT MONSTER,832889006213,0.75,1,46,94.99,NA
Wine,Canada - BC,Canada - BC Red Wine,CANADA,677195,HESTER CREEK - SELECTED BARRELS MERLOT 2019,626990080541,0.75,1,14,21.99,0
Refreshment Beverages,Coolers,Spirit Coolers,CANADA,710778,SAPPORO - VODKA LEMON SOUR,5691003347,0.473,1,5.5,3.99,NA
Wine,France Wine,France Red Wine,FRANCE,1479,CHATEAU LYNCH BAGES 2014,3760020131951,0.75,1,13,175,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,21723,40 KNOTS - ISLAND GAMAY NOIR 2023,626990289876,0.75,1,10.8,34.99,0
